"model","field_count","fields"
"Activity","7","patient_id, facility_id, module, action, description, performed_by, meta"
"Administrator","10","user_id, first_name, last_name, email, password, role, designation, facility_id, state_id, lga_id"
"AntenatalFollowUpAssessment","30","patient_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, bp, pcv, weight, fundal_height, presentation_position, relation_to_brim, fetal_heart_rate, urine_test, oedema, clinical_remarks, special_delivery_instructions, next_return_date, xray_pelvimetry, pelvic_inlet, pelvic_cavity, pelvic_outlet, hb_genotype, rhesus, kahn_vdrl, antimalarials_therapy, officer_name, officer_role, officer_designation"
"Bed","12","facility_id, bed_section_id, bed_code, ward_section, room_label, bed_type, status, is_active, occupied_by_patient_id, occupied_since, last_status_changed_at, notes"
"BedSection","4","facility_id, name, details, is_active"
"ChildHealthActivityRecord","21","patient_id, linked_child_id, facility_id, state_id, lga_id, ward_id, month_year, visit_date, vaccination_dates, vaccination_notes, weight_entries, breastfeeding_entries, aefi_period, aefi_type, aefi_sia_campaign, aefi_cases, comments, summary_map, officer_name, officer_role, officer_designation"
"ClinicalNote","13","user_id, facility_id, state_id, lga_id, ward_id, month_year, date_of_visit, section, note, phone, officer_name, officer_role, officer_designation"
"DailyAttendance","20","user_id, state_id, lga_id, ward_id, month_year, visit_date, date_of_birth, gender, age_group, address, state_of_origin_id, phone, first_contact, next_of_kin_name, next_of_kin_relation, next_of_kin_address, next_of_kin_phone, officer_name, officer_role, officer_designation"
"DataOfficer","7","user_id, first_name, last_name, email, role, designation, facility_id"
"Delivery","52","patient_id, facility_id, state_id, lga_id, ward_id, month_year, cl_date, cl_sex, toc, seeking_care, transportation, parity, dodel, cl_phone, mod, partograph, oxytocin, misoprostol, alive, admitted, discharged, referred_out, pac, mother_transportation, dead, MDA_conducted, MDA_not_conducted, abortion, time_of_delivery, pre_term, breathing, weight, still_birth, baby_dead, live_births, baby_sex, took_delivery, doctor, newborn_care, clamped, CKX_gel, breast, temperature, breastfeeding, postpartum, took_del, officer_name, officer_role, officer_designation, blood_loss, gestational_age, complications"
"DoctorAssessment","27","patient_id, facility_id, state_id, lga_id, ward_id, doctor_user_id, month_year, visit_date, next_appointment_date, chief_complaints, history_of_present_illness, vital_signs, physical_examination, clinical_findings, provisional_diagnosis, final_diagnosis, assessment_note, management_plan, follow_up_instructions, referral_note, advice_to_patient, requires_lab_tests, requires_drugs, summary_map, officer_name, officer_role, officer_designation"
"DrugCatalogItem","11","facility_id, state_id, lga_id, ward_id, drug_name, formulation, strength, route, notes, reorder_level, is_active"
